feature,theta,kernel,kernel_label,param,param_value,n_params,weights,acc,acc_std,mae_ord,mae_ord_std,acc1,acc1_std,rmse,r2
eig,1.0,K5_plus,正指数核,beta_plus,19.952623149688787,1,off,0.36845266570411545,0.006848434820572442,0.8627310541864773,0.016437888044883147,0.8052439879417133,0.007658546110198868,58.46176636589987,0.6451635589070636
eig,1.0,K5_plus,正指数核,beta_plus,39.81071705534969,1,off,0.36835450620674415,0.00727592476608012,0.863221984256152,0.01653374041171932,0.8050966884307389,0.0074651281303556435,58.506574245960906,0.64461885659589
eig,1.0,K5_plus,正指数核,beta_plus,79.43282347242814,1,off,0.3682562623384885,0.006563676381638764,0.8631238488647476,0.01613339416310533,0.805145780232408,0.007439962837739387,58.4867619234285,0.6448571179009177
eig,1.0,K5_plus,正指数核,beta_plus,158.48931924611142,1,off,0.36968023796446325,0.008772662590699424,0.8621910082091665,0.01664508673032421,0.804998408403533,0.00651874963719063,58.45137924494211,0.6452989587201214
eig,1.0,K5_plus,正指数核,beta_plus,316.22776601683796,1,off,0.3696311582157776,0.008939856956776286,0.8620928004998614,0.016873110607285812,0.8051456958615237,0.006564322140851905,58.446087072879436,0.6453638506213979
eig,1.0,K5_plus,正指数核,beta_plus,630.957344480193,1,off,0.3696802620704302,0.009008239362368808,0.8620436966452087,0.016932828077075433,0.8051456958615237,0.006564322140851905,58.44506519200917,0.6453759363036217
eig,1.0,K5_plus,正指数核,beta_plus,1258.9254117941662,1,off,0.3698275615814045,0.009161012284367703,0.8618963850812509,0.017166135930881576,0.8050966040598546,0.006596484515296578,58.43841862834137,0.6454545377058215
eig,1.0,K5_plus,正指数核,beta_plus,2511.886431509577,1,off,0.3700730567487005,0.009420193128561986,0.8616999817156241,0.017415262831019605,0.8050475122581855,0.00660262599603199,58.43660114109241,0.6454759017215432
eig,1.0,K5_plus,正指数核,beta_plus,5011.872336272725,1,off,0.3700730567487005,0.009420193128561986,0.8616999817156241,0.017415262831019605,0.8050475122581855,0.00660262599603199,58.43660114109241,0.6454759017215432
eig,1.0,K5_plus,正指数核,beta_plus,10000.0,1,off,0.3700730567487005,0.009420193128561986,0.8616999817156241,0.017415262831019605,0.8050475122581855,0.00660262599603199,58.43660114109241,0.6454759017215432
eig,0.5,K1_lin,线性核,,,0,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K2_cap,香农容量核,,,0,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,0.01,1,off,0.40620617761204125,0.0077506698050145185,0.7892864284249849,0.013697676056061116,0.8278270604183519,0.005546200202070346,55.20384715052554,0.6836603451660886
eig,0.5,K3_eesm,EESM指数核,beta_EESM,0.0199526231496888,1,off,0.40645164867337036,0.007773976574626571,0.7890409573636558,0.013720551264526402,0.8278270604183519,0.005546200202070346,55.19969536616285,0.6837080233111766
eig,0.5,K3_eesm,EESM指数核,beta_EESM,0.039810717055349734,1,off,0.4062552814666939,0.007708499782240971,0.7890900491653249,0.013716903544969763,0.8279743358233592,0.005582792429706703,55.19240821956305,0.6837917417620858
eig,0.5,K3_eesm,EESM指数核,beta_EESM,0.07943282347242814,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,0.15848931924611134,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,0.31622776601683794,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,0.630957344480193,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,1.2589254117941675,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,2.5118864315095797,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,5.01187233627272,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,10.0,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,19.952623149688787,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,39.81071705534969,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,79.43282347242814,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,158.48931924611142,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,316.22776601683796,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
