feature,kernel,param,inner_oof_mae
geo,K5_plus,0.01,0.7265083520082524
geo,K5_plus,0.0199526231496888,0.723918634443525
geo,K5_plus,0.039810717055349734,0.7184077859687827
geo,K5_plus,0.07943282347242814,0.7191810451115848
geo,K5_plus,0.15848931924611134,0.7175486523253533
geo,K5_plus,0.31622776601683794,0.7189355845968937
geo,K5_plus,0.630957344480193,0.7183341701082897
geo,K5_plus,1.2589254117941675,0.7155603492492298
geo,K5_plus,2.5118864315095797,0.7166895307326879
geo,K5_plus,5.01187233627272,0.7170945606916416
geo,K5_plus,10.0,0.7180641697181462
geo,K5_plus,19.952623149688787,0.7185551178617485
geo,K5_plus,39.81071705534969,0.7159285663823138
geo,K5_plus,79.43282347242814,0.7145662018536185
geo,K5_plus,158.48931924611142,0.7143943662374937
geo,K5_plus,316.22776601683796,0.7144189143978468
geo,K5_plus,630.957344480193,0.7143452721763064
geo,K5_plus,1258.9254117941662,0.7143698195834864
geo,K5_plus,2511.886431509577,0.7143698195834864
geo,K5_plus,5011.872336272725,0.7143698195834864
geo,K5_plus,10000.0,0.7143575458798963
fro,K3_eesm,0.01,0.771613692259327
fro,K3_eesm,0.0199526231496888,0.7708404639966089
fro,K3_eesm,0.039810717055349734,0.7717854947358495
fro,K3_eesm,0.07943282347242814,0.7693799128518841
fro,K3_eesm,0.15848931924611134,0.7726446901394468
fro,K3_eesm,0.31622776601683794,0.7692694216521809
fro,K3_eesm,0.630957344480193,0.7700304018191834
fro,K3_eesm,1.2589254117941675,0.7676861462754928
fro,K3_eesm,2.5118864315095797,0.7748416958860046
fro,K3_eesm,5.01187233627272,0.7661273814005187
fro,K3_eesm,10.0,0.77012857412493
fro,K3_eesm,19.952623149688787,0.7673792954008408
fro,K3_eesm,39.81071705534969,0.7647772845500312
fro,K3_eesm,79.43282347242814,0.7654400705692765
fro,K3_eesm,158.48931924611142,0.7679684030462524
fro,K3_eesm,316.22776601683796,0.7657591657737803
fro,K3_eesm,630.957344480193,0.7657591657737803
fro,K3_eesm,1258.9254117941662,0.7657714424900615
fro,K3_eesm,2511.886431509577,0.7653541365679996
fro,K3_eesm,5011.872336272725,0.7660291864995888
fro,K3_eesm,10000.0,0.7682875306371857
fro,K4_pow,-2.0,0.7902204062222314
fro,K4_pow,-1.0,0.7694412550087872
fro,K4_pow,-0.5,0.771797841497199
fro,K4_pow,1.0,0.7776767971417997
fro,K4_pow,2.0,0.8006528825503876
fro,K5_plus,0.01,0.7715768734080752
fro,K5_plus,0.0199526231496888,0.7708772851073791
fro,K5_plus,0.039810717055349734,0.7695762913561524
fro,K5_plus,0.07943282347242814,0.7696008432823691
fro,K5_plus,0.15848931924611134,0.7692448885552835
fro,K5_plus,0.31622776601683794,0.7684593926143576
fro,K5_plus,0.630957344480193,0.7960012852140284
fro,K5_plus,1.2589254117941675,0.774313937176051
fro,K5_plus,2.5118864315095797,0.766262410216156
fro,K5_plus,5.01187233627272,0.7888825808158156
fro,K5_plus,10.0,0.768348915724937
fro,K5_plus,19.952623149688787,0.7662255680165482
fro,K5_plus,39.81071705534969,0.7703126668748437
fro,K5_plus,79.43282347242814,0.769490344550938
fro,K5_plus,158.48931924611142,0.7711840960638738
fro,K5_plus,316.22776601683796,0.7709754438560157
fro,K5_plus,630.957344480193,0.7708527075732878
fro,K5_plus,1258.9254117941662,0.7710490815585194
fro,K5_plus,2511.886431509577,0.769895376016237
fro,K5_plus,5011.872336272725,0.770754522463604
fro,K5_plus,10000.0,0.7697112802536324
